category,extra_report,source,canonical_report,severity,reason
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0319-Love-Objects-contents-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0319-ocr-toc-contents-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0320-section-lives-of-objects-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0320-Section-One-Lives-of-Objects-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0322-fran-carter-preface-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0323-forgetting-keeping-giving-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0324-Notes-01-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0324-notes-keeping-giving-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0325-Notes-02-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0325-notes-section-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0326-body-life-cycle-textiles-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0326-Sex-Birth-Nurture-OCR-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0327-Introduction-01-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0327-section-introduction-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0328-Maternal-Memory-Coarse-Craft-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0328-maternal-memory-craft-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0329-maternal-notes-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0329-Notes-03-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0330-body-performing-masculinity-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0330-Performing-Masculinity-OCR-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0331-Introduction-02-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0331-section-introduction-gender-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0332-playboy-bachelor-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0333-gender-notes-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0333-Notes-04-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0334-Objects-Embodiment-Archive-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0334-objects-embodiment-seduced-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0335-Introduction-03-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0335-section-introduction-archive-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0336-life-in-archive-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0337-archive-notes-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0337-Notes-05-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0338-kitsch-enchantment-body-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0338-Kitsch-Enchantment-OCR-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0339-Introduction-04-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0339-section-kitsch-introduction-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0340-saint-sulpice-kitsch-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0341-Introduction-05-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0341-section-war-memory-introduction-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0342-Notes-06-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0342-section-relation-introduction-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0343-family-memory-photography-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0343-relations-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0343-Section-Four-Mediating-Relationships-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0344-Introduction-06-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0344-section-home-memory-introduction-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0345-Family-Memory-Photography-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0345-meaning-made-belief-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0346-Introduction-07-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0346-section-memory-introduction-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0347-Introduction-08-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0347-section-meaning-introduction-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0348-Meaning-and-Made-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0348-meaning-made-belief-body-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0349-Bibliography-OCR-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0349-ocr-bibliography-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0350-Index-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0350-ocr-index-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/MINDELL, DAVID A. Automation's Finest Hour Radar and System Integration in World/B0351-automation-finest-hour-title-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/MINDELL, DAVID A. Automation's Finest Hour Radar and System Integration in World/B0351-Automations-Finest-Hour-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/MINDELL, DAVID A. Automation's Finest Hour Radar and System Integration in World/B0352-control-training-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/MINDELL, DAVID A. Automation's Finest Hour Radar and System Integration in World/B0353-More-Than-Sum-Components-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/MINDELL, DAVID A. Automation's Finest Hour Radar and System Integration in World/B0353-system-integration-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/MINDELL, DAVID A. Automation's Finest Hour Radar and System Integration in World/B0354-mindell-full-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/MINDELL, DAVID A. Automation's Finest Hour Radar and System Integration in World/B0355-Automation-Preface-OCR-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/MINDELL, DAVID A. Automation's Finest Hour Radar and System Integration in World/B0355-mindell-preface-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/MINDELL, DAVID A. Automation's Finest Hour Radar and System Integration in World/B0356-Difficult-Stepchild-Radar-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/MINDELL, DAVID A. Automation's Finest Hour Radar and System Integration in World/B0356-difficult-stepchild-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/MINDELL, DAVID A. Automation's Finest Hour Radar and System Integration in World/B0357-mindell-notes-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Personas, Participatory Design and Product Development An Infrastructure for Engagement/B0358-personas-participatory-design-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/Personas, Participatory Design and Product Development An Infrastructure for Engagement/B0360-personas-full-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Pioneers Of Modern Design -- Nikolaus Pevsner -- 79d1b31976f272a671ce2a3b7a2db14/B0362-pioneers-title-page-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Pioneers Of Modern Design -- Nikolaus Pevsner -- 79d1b31976f272a671ce2a3b7a2db14/B0366-Jubilee-Edition-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Pioneers Of Modern Design -- Nikolaus Pevsner -- 79d1b31976f272a671ce2a3b7a2db14/B0367-Pioneers-full-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B0372-Introduction-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B0373-Historiography-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B0374-Denmark-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B0376-Sweden-Authorship-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B0377-Degrees-Artfulness-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B0378-Turning-Design-Into-Art-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B0380-Honest-Advertisement-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B0382-Hole-in-Wall-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B0383-RVM-Tomra-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B0385-Designing-Goldfish-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B0387-Comfortable-Modernism-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B0388-New-Pluralism-Jacob-Jensen-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B0389-Personality-Signature-Design-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B0390-Appropriation-Personalization-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B0394-Modern-Still-Life-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B0395-Swedish-Volvo-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B0399-Chapter-3-Handwoven-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B0400-Chapters-6-7-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B0401-Chapters-8-9-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B0402-Chapters-11-12-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B0406-OCR-Authors-Introduction-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B0407-OCR-Introduction-Body-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B0408-OCR-Historiography-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B0409-OCR-Body-8-8-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B0410-OCR-Honest-Advertisement-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B0411-OCR-Conclusion-Scandinavian-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B0412-notes-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B0413-OCR-Introduction-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B0414-Chapter-1-Historiography-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Scandinavian Design Alternative Histories (Kjetil Fallan (editor))/B0415-Select-Bibliography-Index-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/SEAGO, ALEX, AND ANTHONY DUNNE. New Methods in Art and Design Research The Objec/B0368-New-Methodologies-Art-Design-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/SEAGO, ALEX, AND ANTHONY DUNNE. New Methods in Art and Design Research The Objec/B0369-Object-as-Research-Discourse-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/SEAGO, ALEX, AND ANTHONY DUNNE. New Methods in Art and Design Research The Objec/B0370-Seago-Dunne-full-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Taste and Power _ Furnishing Modern France -- Leora Auslander -- University of C/B0416-Representation-Style-Taste-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Taste and Power _ Furnishing Modern France -- Leora Auslander -- University of C/B0419-Fathers-Masters-Kings-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Taste and Power _ Furnishing Modern France -- Leora Auslander -- University of C/B0422-New-Politics-Everyday-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Taste and Power _ Furnishing Modern France -- Leora Auslander -- University of C/B0424-Part-Three-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Taste and Power _ Furnishing Modern France -- Leora Auslander -- University of C/B0428-Labor-Citizenship-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,00-books-result/Taste and Power _ Furnishing Modern France -- Leora Auslander -- University of C/B0434-Taste-and-Power-full-report.md,,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/The arts and crafts movement (Blakesley, Rosalind P. (Rosalind Polly)) (z-librar/B0435-Digitized-Archive-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/The arts and crafts movement (Blakesley, Rosalind P. (Rosalind Polly)) (z-librar/B0436-Arts-Crafts-Enormous-Influence-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/The arts and crafts movement (Blakesley, Rosalind P. (Rosalind Polly)) (z-librar/B0437-Handloom-Britain-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/The arts and crafts movement (Blakesley, Rosalind P. (Rosalind Polly)) (z-librar/B0439-Sussex-Chairs-Morris-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/The arts and crafts movement (Blakesley, Rosalind P. (Rosalind Polly)) (z-librar/B0441-Rich-Movement-International-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/The arts and crafts movement (Blakesley, Rosalind P. (Rosalind Polly)) (z-librar/B0444-Russia-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
orphan_no_source,"00-books-result/The arts and crafts movement (Blakesley, Rosalind P. (Rosalind Polly)) (z-librar/B0445-Four-Countries-report.md",,,P0,无法与 00-books/ 建立唯一源文对应关系；已标记停止使用
